         52335252 function calls (40456854 primitive calls) in 39.546 seconds

   Ordered by: cumulative time
   List reduced from 1920 to 45 due to restriction <45>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
874347/16614    0.634    0.000   19.490    0.001 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/memory_evolution/ingestion_contracts.py:739(<genexpr>)
   753187    0.592    0.000    3.580    0.000 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/memory_evolution/ingestion_contracts.py:846(<lambda>)
   874347    0.468    0.000    1.565    0.000 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/memory_evolution/ingestion_contracts.py:735(<genexpr>)
  1533312    0.456    0.000    0.460    0.000 {built-in method builtins.getattr}
216125/140    0.414    0.000    0.558    0.004 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/semantic_ingestion/contracts.py:13146(restore_closed_wire_enums)
   291727    0.410    0.000    0.635    0.000 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/memory_evolution/ingestion_contracts.py:743(_validated_keys)
105058/96    0.372    0.000    0.905    0.009 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/memory_evolution/ingestion_contracts.py:920(_decode_typed_value)
   874347    0.352    0.000    0.459    0.000 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/memory_evolution/ingestion_contracts.py:731(<genexpr>)
296876/294258    0.346    0.000    0.877    0.000 {built-in method builtins.any}
   526909    0.275    0.000    0.482    0.000 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/memory_evolution/ingestion_contracts.py:692(_scalar)
   818570    0.247    0.000    0.249    0.000 {method 'get' of 'dict' objects}
     8590    0.247    0.000    0.247    0.000 {built-in method _hashlib.openssl_sha256}
   788832    0.242    0.000    0.242    0.000 {method 'append' of 'list' objects}
   432507    0.200    0.000    0.319    0.000 /Users/nandaraghunathan/Code/Memorii/Memorii/.venv/lib/python3.12/site-packages/pydantic/_internal/_schema_gather.py:69(traverse_metadata)
114075/1494    0.191    0.000    0.411    0.000 /usr/local/Cellar/python@3.12/3.12.14/Frameworks/Python.framework/Versions/3.12/lib/python3.12/copy.py:118(deepcopy)
    26419    0.173    0.000    0.261    0.000 /Users/nandaraghunathan/Code/Memorii/Memorii/.venv/lib/python3.12/site-packages/pydantic/_internal/_model_construction.py:141(wrapped_model_post_init)
    33923    0.154    0.000    0.154    0.000 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/memory_evolution/ingestion_contracts.py:752(_pairs)
40699/20934    0.140    0.000    1.985    0.000 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/semantic_ingestion/contracts.py:130(<genexpr>)
     5587    0.111    0.000   26.273    0.005 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/memory_evolution/ingestion_contracts.py:854(encode_typed_value)
    65086    0.092    0.000    0.127    0.000 /Users/nandaraghunathan/Code/Memorii/Memorii/.venv/lib/python3.12/site-packages/pydantic/_internal/_model_construction.py:364(init_private_attributes)
     2515    0.091    0.000    0.092    0.000 {method 'to_python' of 'pydantic_core._pydantic_core.SchemaSerializer' objects}
93330/2736    0.090    0.000    0.223    0.000 /Users/nandaraghunathan/Code/Memorii/Memorii/.venv/lib/python3.12/site-packages/pydantic/json_schema.py:2635(_make_json_hashable)
    75962    0.089    0.000    0.156    0.000 /Users/nandaraghunathan/Code/Memorii/Memorii/.venv/lib/python3.12/site-packages/pydantic/_internal/_utils.py:431(__get__)
    41777    0.085    0.000    1.356    0.000 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/semantic_ingestion/contracts.py:196(_digest_verification_hit)
     1337    0.077    0.000    0.077    0.000 {built-in method binascii.b2a_base64}
       96    0.072    0.001    0.226    0.002 /usr/local/Cellar/python@3.12/3.12.14/Frameworks/Python.framework/Versions/3.12/lib/python3.12/json/decoder.py:344(raw_decode)
   128026    0.066    0.000    0.131    0.000 <frozen abc>:117(__instancecheck__)
   128026    0.064    0.000    0.066    0.000 {built-in method _abc._abc_instancecheck}
 6580/765    0.056    0.000    0.405    0.001 /usr/local/Cellar/python@3.12/3.12.14/Frameworks/Python.framework/Versions/3.12/lib/python3.12/copy.py:217(_deepcopy_dict)
   134966    0.046    0.000    0.046    0.000 {method 'items' of 'dict' objects}
95394/15090    0.042    0.000    0.210    0.000 /Users/nandaraghunathan/Code/Memorii/Memorii/.venv/lib/python3.12/site-packages/pydantic/json_schema.py:2637(<genexpr>)


   Ordered by: internal time
   List reduced from 1920 to 1 due to restriction <'validate_python'>

Function                                                                              was called by...
                                                                                          ncalls  tottime  cumtime
{method 'validate_python' of 'pydantic_core._pydantic_core.SchemaValidator' objects}  <- 2090/1779    0.063    6.495  /Users/nandaraghunathan/Code/Memorii/Memorii/.venv/lib/python3.12/site-packages/pydantic/main.py:253(__init__)
                                                                                         812/804    0.905    8.424  /Users/nandaraghunathan/Code/Memorii/Memorii/.venv/lib/python3.12/site-packages/pydantic/main.py:693(model_validate)


