         67092853 function calls (53955639 primitive calls) in 261.939 seconds

   Ordered by: cumulative time
   List reduced from 1915 to 45 due to restriction <45>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      121    0.834    0.007   49.267    0.407 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/semantic_ingestion/contracts.py:138(_build_validated_semantic_contract_result)
    29736    0.799    0.000    1.273    0.000 /Users/nandaraghunathan/Code/Memorii/Memorii/.venv/lib/python3.12/site-packages/pydantic/_internal/_model_construction.py:141(wrapped_model_post_init)
   432507    0.740    0.000    1.195    0.000 /Users/nandaraghunathan/Code/Memorii/Memorii/.venv/lib/python3.12/site-packages/pydantic/_internal/_schema_gather.py:69(traverse_metadata)
114075/1494    0.706    0.000    1.637    0.001 /usr/local/Cellar/python@3.12/3.12.14/Frameworks/Python.framework/Versions/3.12/lib/python3.12/copy.py:118(deepcopy)
     2591    0.663    0.000    0.664    0.000 {method 'to_python' of 'pydantic_core._pydantic_core.SchemaSerializer' objects}
      120    0.597    0.005  118.167    0.985 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/semantic_ingestion/contracts.py:13060(encode_semantic_contract)
    82614    0.584    0.000    0.976    0.000 /Users/nandaraghunathan/Code/Memorii/Memorii/.venv/lib/python3.12/site-packages/pydantic/_internal/_utils.py:431(__get__)
    73194    0.559    0.000    0.722    0.000 /Users/nandaraghunathan/Code/Memorii/Memorii/.venv/lib/python3.12/site-packages/pydantic/_internal/_model_construction.py:364(init_private_attributes)
   156927    0.517    0.000    1.905    0.000 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/memory_evolution/ingestion_contracts.py:889(<genexpr>)
   135279    0.472    0.000    0.476    0.000 {built-in method _abc._abc_instancecheck}
    46898    0.444    0.000    6.509    0.000 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/semantic_ingestion/contracts.py:186(_digest_verification_hit)


   Ordered by: internal time
   List reduced from 1915 to 1 due to restriction <'validate_python'>

Function                                                                              was called by...
                                                                                          ncalls  tottime  cumtime
{method 'validate_python' of 'pydantic_core._pydantic_core.SchemaValidator' objects}  <- 2252/1941    0.450   29.959  /Users/nandaraghunathan/Code/Memorii/Memorii/.venv/lib/python3.12/site-packages/pydantic/main.py:253(__init__)
                                                                                         853/837    4.806   58.300  /Users/nandaraghunathan/Code/Memorii/Memorii/.venv/lib/python3.12/site-packages/pydantic/main.py:693(model_validate)


